type	date	item	value
Moonchain Daily Report	05-October-2024	Active accounts	439
Moonchain Daily Report	05-October-2024	Average transaction fee	2.7251766384381777 MXC
Moonchain Daily Report	05-October-2024	Number of new transactions	2463
Moonchain Daily Report	05-October-2024	Number of new blocks	1157
Moonchain Daily Report	05-October-2024	Average size of blocks	1339 bytes
Moonchain Daily Report	05-October-2024	Average amount of reward	0.0702911272750491 MXC
Moonchain Daily Report	05-October-2024	Cumulative gas used	281701137533
Moonchain Daily Report	05-October-2024	Average gas price	21741.112736579213 Gwei
Moonchain Daily Report	05-October-2024	Number of new contracts	11
